,Alabama,,,,Alaska,,,,Arizona,,,,Arkansas,,,,California,,,,Colorado,,,,Connecticut,,,,Delaware,,,,District of Columbia,,,,Florida,,,,Georgia,,,,Hawaii,,,,Idaho,,,,Illinois,,,,Indiana,,,,Iowa,,,,Kansas,,,,Kentucky,,,,Louisiana,,,,Maine,,,,Maryland,,,,Massachusetts,,,,Michigan,,,,Minnesota,,,,Mississippi,,,,Missouri,,,,Montana,,,,Nebraska,,,,Nevada,,,,New Hampshire,,,,New Jersey,,,,New Mexico,,,,New York,,,,North Carolina,,,,North Dakota,,,,Ohio,,,,Oklahoma,,,,Oregon,,,,Pennsylvania,,,,Rhode Island,,,,South Carolina,,,,South Dakota,,,,Tennessee,,,,Texas,,,,Utah,,,,Vermont,,,,Virginia,,,,Washington,,,,West Virginia,,,,Wisconsin,,,,Wyoming,,,,Puerto Rico,,,
Black or African American and American Indian and Alaska Native,"5,378",±943,0.1%,±0.1,"1,771",±444,0.2%,±0.1,"7,691","±1,127",0.1%,±0.1,"2,801",±631,0.1%,±0.1,"34,944","±2,503",0.1%,±0.1,"4,497",±864,0.1%,±0.1,"4,595",±892,0.1%,±0.1,"1,883",±574,0.2%,±0.1,"2,435",±776,0.4%,±0.1,"13,747","±1,543",0.1%,±0.1,"14,059","±1,687",0.1%,±0.1,"1,113",±293,0.1%,±0.1,176,±91,0.0%,±0.1,"8,601",±997,0.1%,±0.1,"3,198",±538,0.0%,±0.1,"1,584",±409,0.0%,±0.1,"3,221",±592,0.1%,±0.1,"2,599",±595,0.1%,±0.1,"6,405","±1,089",0.1%,±0.1,238,±105,0.0%,±0.1,"12,163","±1,322",0.2%,±0.1,"6,288","±1,200",0.1%,±0.1,"11,844","±1,325",0.1%,±0.1,"4,364",±791,0.1%,±0.1,"2,170",±485,0.1%,±0.1,"5,728",±835,0.1%,±0.1,742,±278,0.1%,±0.1,"1,369",±383,0.1%,±0.1,"3,487",±651,0.1%,±0.1,189,±98,0.0%,±0.1,"8,122",±947,0.1%,±0.1,"2,431",±667,0.1%,±0.1,"21,901","±1,977",0.1%,±0.1,"19,567","±1,868",0.2%,±0.1,353,±177,0.0%,±0.1,"12,270","±1,451",0.1%,±0.1,"17,061","±1,255",0.4%,±0.1,"1,212",±326,0.0%,±0.1,"11,985","±1,386",0.1%,±0.1,"1,326",±365,0.1%,±0.1,"6,010",±950,0.1%,±0.1,779,±275,0.1%,±0.1,"4,689",±715,0.1%,±0.1,"22,496","±1,766",0.1%,±0.1,889,±257,0.0%,±0.1,405,±244,0.1%,±0.1,"12,674","±1,468",0.1%,±0.1,"7,323",±981,0.1%,±0.1,480,±183,0.0%,±0.1,"3,374",±680,0.1%,±0.1,53,±46,0.0%,±0.1,"1,378",±414,0.0%,±0.1
Race alone or in combination with one or more other races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total population,"4,997,675",*****,"4,997,675",(X),"735,951",*****,"735,951",(X),"7,079,203",*****,"7,079,203",(X),"3,006,309",*****,"3,006,309",(X),"39,455,353",*****,"39,455,353",(X),"5,723,176",*****,"5,723,176",(X),"3,605,330",*****,"3,605,330",(X),"981,892",*****,"981,892",(X),"683,154",*****,"683,154",(X),"21,339,762",*****,"21,339,762",(X),"10,625,615",*****,"10,625,615",(X),"1,453,498",*****,"1,453,498",(X),"1,811,617",*****,"1,811,617",(X),"12,821,813",*****,"12,821,813",(X),"6,751,340",*****,"6,751,340",(X),"3,179,090",*****,"3,179,090",(X),"2,932,099",*****,"2,932,099",(X),"4,494,141",*****,"4,494,141",(X),"4,657,305",*****,"4,657,305",(X),"1,357,046",*****,"1,357,046",(X),"6,148,545",*****,"6,148,545",(X),"6,991,852",*****,"6,991,852",(X),"10,062,512",*****,"10,062,512",(X),"5,670,472",*****,"5,670,472",(X),"2,967,023",*****,"2,967,023",(X),"6,141,534",*****,"6,141,534",(X),"1,077,978",*****,"1,077,978",(X),"1,951,480",*****,"1,951,480",(X),"3,059,238",*****,"3,059,238",(X),"1,372,175",*****,"1,372,175",(X),"9,234,024",*****,"9,234,024",(X),"2,109,366",*****,"2,109,366",(X),"20,114,745",*****,"20,114,745",(X),"10,367,022",*****,"10,367,022",(X),"773,344",*****,"773,344",(X),"11,769,923",*****,"11,769,923",(X),"3,948,136",*****,"3,948,136",(X),"4,207,177",*****,"4,207,177",(X),"12,970,650",*****,"12,970,650",(X),"1,091,949",*****,"1,091,949",(X),"5,078,903",*****,"5,078,903",(X),"881,785",*****,"881,785",(X),"6,859,497",*****,"6,859,497",(X),"28,862,581",*****,"28,862,581",(X),"3,231,370",*****,"3,231,370",(X),"641,637",*****,"641,637",(X),"8,582,479",*****,"8,582,479",(X),"7,617,364",*****,"7,617,364",(X),"1,801,049",*****,"1,801,049",(X),"5,871,661",*****,"5,871,661",(X),"576,641",*****,"576,641",(X),"3,311,274",*****,"3,311,274",(X)
White,"3,479,535","±4,717",69.6%,±0.1,"525,009","±2,752",71.3%,±0.4,"5,675,246","±11,312",80.2%,±0.2,"2,378,184","±4,176",79.1%,±0.1,"24,407,973","±36,881",61.9%,±0.1,"4,958,578","±8,611",86.6%,±0.2,"2,796,534","±7,407",77.6%,±0.2,"687,652","±3,148",70.0%,±0.3,"308,625","±2,115",45.2%,±0.3,"16,318,319","±19,294",76.5%,±0.1,"6,377,771","±11,375",60.0%,±0.1,"615,223","±5,654",42.3%,±0.4,"1,667,757","±4,175",92.1%,±0.2,"9,393,994","±14,970",73.3%,±0.1,"5,753,102","±6,906",85.2%,±0.1,"2,912,885","±3,474",91.6%,±0.1,"2,556,974","±4,469",87.2%,±0.2,"3,992,085","±3,383",88.8%,±0.1,"2,965,411","±5,541",63.7%,±0.1,"1,306,423","±1,480",96.3%,±0.1,"3,519,130","±8,330",57.2%,±0.1,"5,600,435","±9,677",80.1%,±0.1,"8,147,744","±6,844",81.0%,±0.1,"4,818,641","±5,773",85.0%,±0.1,"1,765,396","±3,188",59.5%,±0.1,"5,194,182","±4,900",84.6%,±0.1,"984,510","±2,127",91.3%,±0.2,"1,724,781","±3,677",88.4%,±0.2,"2,081,369","±7,788",68.0%,±0.3,"1,297,158","±2,110",94.5%,±0.2,"6,328,553","±11,165",68.5%,±0.1,"1,612,464","±6,145",76.4%,±0.3,"13,172,752","±18,664",65.5%,±0.1,"7,310,440","±10,459",70.5%,±0.1,"685,097","±1,648",88.6%,±0.2,"9,839,507","±7,318",83.6%,±0.1,"3,119,450","±5,295",79.0%,±0.1,"3,704,064","±6,137",88.0%,±0.1,"10,649,066","±9,402",82.1%,±0.1,"900,854","±4,864",82.5%,±0.4,"3,517,786","±6,011",69.3%,±0.1,"764,992","±1,901",86.8%,±0.2,"5,441,228","±5,526",79.3%,±0.1,"21,574,802","±24,703",74.8%,±0.1,"2,875,805","±6,366",89.0%,±0.2,"616,685","±1,021",96.1%,±0.2,"6,024,697","±9,796",70.2%,±0.1,"6,071,221","±11,426",79.7%,±0.1,"1,711,296","±1,794",95.0%,±0.1,"5,138,945","±6,702",87.5%,±0.1,"538,720","±1,558",93.4%,±0.3,"2,209,048","±11,807",66.7%,±0.4
Black or African American,"1,381,411","±2,212",27.6%,±0.1,"37,173","±1,080",5.1%,±0.1,"431,870","±3,069",6.1%,±0.1,"494,417","±1,262",16.4%,±0.1,"2,827,328","±7,663",7.2%,±0.1,"315,923","±2,265",5.5%,±0.1,"471,249","±3,448",13.1%,±0.1,"241,074","±1,075",24.6%,±0.1,"322,235","±1,700",47.2%,±0.2,"3,774,605","±8,636",17.7%,±0.1,"3,552,354","±5,190",33.4%,±0.1,"53,159","±1,682",3.7%,±0.1,"22,668",±613,1.3%,±0.1,"1,979,083","±3,130",15.4%,±0.1,"749,882","±2,689",11.1%,±0.1,"162,585","±1,290",5.1%,±0.1,"220,038","±1,494",7.5%,±0.1,"433,820","±1,950",9.7%,±0.1,"1,559,830","±1,791",33.5%,±0.1,"28,996",±605,2.1%,±0.1,"1,983,397","±3,313",32.3%,±0.1,"687,742","±4,917",9.8%,±0.1,"1,543,275","±2,407",15.3%,±0.1,"468,058","±2,013",8.3%,±0.1,"1,144,089","±1,379",38.6%,±0.1,"790,411","±1,427",12.9%,±0.1,"12,132",±800,1.1%,±0.1,"120,992",±891,6.2%,±0.1,"350,048","±2,182",11.4%,±0.1,"34,370","±1,037",2.5%,±0.1,"1,398,406","±6,171",15.1%,±0.1,"66,667","±1,573",3.2%,±0.1,"3,516,877","±11,949",17.5%,±0.1,"2,392,313","±4,207",23.1%,±0.1,"30,520",±726,3.9%,±0.1,"1,703,313","±2,919",14.5%,±0.1,"369,304","±1,871",9.4%,±0.1,"129,985","±1,725",3.1%,±0.1,"1,671,496","±5,442",12.9%,±0.1,"95,965","±1,942",8.8%,±0.2,"1,413,250","±2,434",27.8%,±0.1,"27,202",±784,3.1%,±0.1,"1,229,561","±2,538",17.9%,±0.1,"3,902,797","±8,001",13.5%,±0.1,"63,920","±1,537",2.0%,±0.1,"13,457",±324,2.1%,±0.1,"1,826,176","±3,954",21.3%,±0.1,"440,529","±2,823",5.8%,±0.1,"83,969","±1,127",4.7%,±0.1,"450,846","±1,594",7.7%,±0.1,"10,089",±610,1.7%,±0.1,"539,396","±8,711",16.3%,±0.3
American Indian and Alaska Native,"68,630","±1,708",1.4%,±0.1,"148,918","±1,225",20.2%,±0.2,"413,837","±4,771",5.8%,±0.1,"64,805","±1,647",2.2%,±0.1,"920,261","±13,158",2.3%,±0.1,"143,399","±3,683",2.5%,±0.1,"38,241","±2,115",1.1%,±0.1,"10,981",±901,1.1%,±0.1,"8,712",±998,1.3%,±0.1,"206,539","±4,572",1.0%,±0.1,"127,492","±3,901",1.2%,±0.1,"34,910","±1,808",2.4%,±0.1,"47,870","±1,541",2.6%,±0.1,"130,460","±3,871",1.0%,±0.1,"59,943","±1,903",0.9%,±0.1,"32,815","±1,416",1.0%,±0.1,"67,761","±1,645",2.3%,±0.1,"38,815","±1,497",0.9%,±0.1,"66,958","±1,807",1.4%,±0.1,"23,381",±703,1.7%,±0.1,"73,341","±3,031",1.2%,±0.1,"59,748","±2,565",0.9%,±0.1,"152,454","±2,605",1.5%,±0.1,"114,778","±1,811",2.0%,±0.1,"29,230","±1,406",1.0%,±0.1,"88,968","±2,318",1.4%,±0.1,"88,093",±784,8.2%,±0.1,"36,992","±1,469",1.9%,±0.1,"75,179","±2,755",2.5%,±0.1,"11,567",±536,0.8%,±0.1,"77,404","±3,608",0.8%,±0.1,"239,040","±2,663",11.3%,±0.1,"234,614","±6,800",1.2%,±0.1,"217,203","±3,435",2.1%,±0.1,"52,961",±872,6.8%,±0.1,"108,909","±2,607",0.9%,±0.1,"545,381","±2,220",13.8%,±0.1,"139,496","±3,015",3.3%,±0.1,"99,345","±3,168",0.8%,±0.1,"14,451","±1,157",1.3%,±0.1,"54,549","±2,047",1.1%,±0.1,"91,514",±894,10.4%,±0.1,"70,338","±1,924",1.0%,±0.1,"428,337","±8,536",1.5%,±0.1,"64,425","±1,962",2.0%,±0.1,"8,470",±415,1.3%,±0.1,"101,008","±3,080",1.2%,±0.1,"237,274","±3,061",3.1%,±0.1,"15,656",±657,0.9%,±0.1,"97,998","±1,851",1.7%,±0.1,"21,142",±667,3.7%,±0.1,"42,626","±2,692",1.3%,±0.1
Asian,"93,041","±1,097",1.9%,±0.1,"64,667",±734,8.8%,±0.1,"330,068","±2,854",4.7%,±0.1,"61,601",±829,2.0%,±0.1,"6,847,247","±8,338",17.4%,±0.1,"259,198","±1,603",4.5%,±0.1,"201,210","±1,331",5.6%,±0.1,"47,423",±785,4.8%,±0.1,"37,986",±673,5.6%,±0.1,"782,929","±4,836",3.7%,±0.1,"534,717","±2,852",5.0%,±0.1,"818,123","±2,506",56.3%,±0.2,"44,783",±916,2.5%,±0.1,"847,986","±2,346",6.6%,±0.1,"203,251","±1,386",3.0%,±0.1,"100,176",±827,3.2%,±0.1,"112,323","±1,034",3.8%,±0.1,"90,545","±1,010",2.0%,±0.1,"102,530","±1,322",2.2%,±0.1,"23,956",±267,1.8%,±0.1,"479,967","±2,354",7.8%,±0.1,"559,246","±1,775",8.0%,±0.1,"401,613","±1,520",4.0%,±0.1,"339,054","±1,162",6.0%,±0.1,"40,313","±1,031",1.4%,±0.1,"165,575","±1,269",2.7%,±0.1,"16,591",±555,1.5%,±0.1,"64,180",±795,3.3%,±0.1,"329,669","±2,188",10.8%,±0.1,"48,622",±383,3.5%,±0.1,"1,002,672","±2,615",10.9%,±0.1,"51,047","±1,318",2.4%,±0.1,"1,962,674","±4,832",9.8%,±0.1,"390,139","±2,171",3.8%,±0.1,"16,687",±421,2.2%,±0.1,"357,647","±1,904",3.0%,±0.1,"119,454",±990,3.0%,±0.1,"265,718","±1,545",6.3%,±0.1,"555,182","±2,195",4.3%,±0.1,"46,695",±777,4.3%,±0.1,"113,685","±1,632",2.2%,±0.1,"16,983",±527,1.9%,±0.1,"162,434","±1,095",2.4%,±0.1,"1,705,370","±5,686",5.9%,±0.1,"118,986","±1,378",3.7%,±0.1,"15,767",±183,2.5%,±0.1,"705,351","±2,691",8.2%,±0.1,"888,309","±2,233",11.7%,±0.1,"20,195",±604,1.1%,±0.1,"208,336","±1,086",3.5%,±0.1,"9,452",±554,1.6%,±0.1,"9,087",±961,0.3%,±0.1
Native Hawaiian and Other Pacific Islander,"5,832",±682,0.1%,±0.1,"16,413",±708,2.2%,±0.1,"33,431","±1,641",0.5%,±0.1,"13,594",±625,0.5%,±0.1,"333,632","±5,681",0.8%,±0.1,"22,207","±1,272",0.4%,±0.1,"6,454",±962,0.2%,±0.1,"1,516",±468,0.2%,±0.1,"1,205",±298,0.2%,±0.1,"41,423","±2,180",0.2%,±0.1,"20,632","±1,808",0.2%,±0.1,"382,273","±4,765",26.3%,±0.3,"7,831",±778,0.4%,±0.1,"16,337","±1,240",0.1%,±0.1,"7,964",±838,0.1%,±0.1,"6,994",±649,0.2%,±0.1,"6,372",±830,0.2%,±0.1,"6,910",±787,0.2%,±0.1,"5,216",±834,0.1%,±0.1,"1,450",±252,0.1%,±0.1,"11,319","±1,082",0.2%,±0.1,"10,685",±976,0.2%,±0.1,"11,037",±792,0.1%,±0.1,"8,496",±954,0.1%,±0.1,"3,405",±675,0.1%,±0.1,"14,660",±964,0.2%,±0.1,"2,913",±438,0.3%,±0.1,"3,873",±590,0.2%,±0.1,"45,785","±2,560",1.5%,±0.1,"1,707",±390,0.1%,±0.1,"12,782","±1,284",0.1%,±0.1,"4,873",±796,0.2%,±0.1,"34,708","±2,013",0.2%,±0.1,"20,145","±1,506",0.2%,±0.1,"1,987",±592,0.3%,±0.1,"16,395","±1,340",0.1%,±0.1,"12,662",±664,0.3%,±0.1,"37,159","±1,692",0.9%,±0.1,"15,768","±1,059",0.1%,±0.1,"2,287",±504,0.2%,±0.1,"8,866","±1,313",0.2%,±0.1,"1,718",±489,0.2%,±0.1,"12,067","±1,434",0.2%,±0.1,"63,037","±2,674",0.2%,±0.1,"52,444","±1,374",1.6%,±0.1,564,±185,0.1%,±0.1,"19,226","±1,313",0.2%,±0.1,"99,061","±2,124",1.3%,±0.1,"2,138",±485,0.1%,±0.1,"7,224",±939,0.1%,±0.1,"1,427",±384,0.2%,±0.1,822,±285,0.0%,±0.1
Some other race,"135,130","±4,577",2.7%,±0.1,"25,853","±1,830",3.5%,±0.2,"975,548","±11,918",13.8%,±0.2,"160,097","±4,691",5.3%,±0.2,"8,703,265","±39,851",22.1%,±0.1,"539,195","±9,040",9.4%,±0.2,"339,032","±6,854",9.4%,±0.2,"46,928","±2,767",4.8%,±0.3,"48,560","±2,355",7.1%,±0.3,"2,325,691","±21,377",10.9%,±0.1,"571,219","±11,225",5.4%,±0.1,"57,997","±2,564",4.0%,±0.2,"130,858","±4,454",7.2%,±0.2,"1,246,150","±11,132",9.7%,±0.1,"280,827","±4,886",4.2%,±0.1,"94,966","±3,693",3.0%,±0.1,"161,254","±4,115",5.5%,±0.1,"101,442","±3,614",2.3%,±0.1,"149,426","±4,541",3.2%,±0.1,"22,568","±2,021",1.7%,±0.1,"450,540","±7,306",7.3%,±0.1,"576,287","±8,390",8.2%,±0.1,"301,969","±6,342",3.0%,±0.1,"200,119","±4,932",3.5%,±0.1,"59,369","±2,931",2.0%,±0.1,"185,783","±4,918",3.0%,±0.1,"24,868","±1,544",2.3%,±0.1,"106,730","±3,337",5.5%,±0.2,"519,881","±7,884",17.0%,±0.3,"32,333","±2,245",2.4%,±0.2,"1,075,527","±12,097",11.6%,±0.1,"410,279","±8,108",19.5%,±0.4,"2,501,297","±19,792",12.4%,±0.1,"578,504","±9,283",5.6%,±0.1,"17,862","±1,196",2.3%,±0.2,"285,554","±5,589",2.4%,±0.1,"202,494","±4,283",5.1%,±0.1,"289,198","±6,699",6.9%,±0.2,"583,126","±8,739",4.5%,±0.1,"110,307","±4,001",10.1%,±0.4,"184,951","±4,324",3.6%,±0.1,"20,378","±1,351",2.3%,±0.2,"221,464","±5,547",3.2%,±0.1,"4,475,828","±28,068",15.5%,±0.1,"256,769","±4,495",7.9%,±0.1,"9,581",±662,1.5%,±0.1,"456,621","±7,858",5.3%,±0.1,"604,365","±9,404",7.9%,±0.1,"26,519","±1,843",1.5%,±0.1,"241,951","±5,935",4.1%,±0.1,"26,387","±1,602",4.6%,±0.3,"1,148,672","±12,713",34.7%,±0.4
HISPANIC OR LATINO AND RACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total population,"4,997,675",*****,"4,997,675",(X),"735,951",*****,"735,951",(X),"7,079,203",*****,"7,079,203",(X),"3,006,309",*****,"3,006,309",(X),"39,455,353",*****,"39,455,353",(X),"5,723,176",*****,"5,723,176",(X),"3,605,330",*****,"3,605,330",(X),"981,892",*****,"981,892",(X),"683,154",*****,"683,154",(X),"21,339,762",*****,"21,339,762",(X),"10,625,615",*****,"10,625,615",(X),"1,453,498",*****,"1,453,498",(X),"1,811,617",*****,"1,811,617",(X),"12,821,813",*****,"12,821,813",(X),"6,751,340",*****,"6,751,340",(X),"3,179,090",*****,"3,179,090",(X),"2,932,099",*****,"2,932,099",(X),"4,494,141",*****,"4,494,141",(X),"4,657,305",*****,"4,657,305",(X),"1,357,046",*****,"1,357,046",(X),"6,148,545",*****,"6,148,545",(X),"6,991,852",*****,"6,991,852",(X),"10,062,512",*****,"10,062,512",(X),"5,670,472",*****,"5,670,472",(X),"2,967,023",*****,"2,967,023",(X),"6,141,534",*****,"6,141,534",(X),"1,077,978",*****,"1,077,978",(X),"1,951,480",*****,"1,951,480",(X),"3,059,238",*****,"3,059,238",(X),"1,372,175",*****,"1,372,175",(X),"9,234,024",*****,"9,234,024",(X),"2,109,366",*****,"2,109,366",(X),"20,114,745",*****,"20,114,745",(X),"10,367,022",*****,"10,367,022",(X),"773,344",*****,"773,344",(X),"11,769,923",*****,"11,769,923",(X),"3,948,136",*****,"3,948,136",(X),"4,207,177",*****,"4,207,177",(X),"12,970,650",*****,"12,970,650",(X),"1,091,949",*****,"1,091,949",(X),"5,078,903",*****,"5,078,903",(X),"881,785",*****,"881,785",(X),"6,859,497",*****,"6,859,497",(X),"28,862,581",*****,"28,862,581",(X),"3,231,370",*****,"3,231,370",(X),"641,637",*****,"641,637",(X),"8,582,479",*****,"8,582,479",(X),"7,617,364",*****,"7,617,364",(X),"1,801,049",*****,"1,801,049",(X),"5,871,661",*****,"5,871,661",(X),"576,641",*****,"576,641",(X),"3,311,274",*****,"3,311,274",(X)
Hispanic or Latino (of any race),"224,659",±413,4.5%,±0.1,"53,604",±171,7.3%,±0.1,"2,257,429",*****,31.9%,*****,"236,001",±291,7.9%,±0.1,"15,593,787",*****,39.5%,*****,"1,254,636",±179,21.9%,±0.1,"610,065",*****,16.9%,*****,"95,278",*****,9.7%,*****,"76,982",*****,11.3%,*****,"5,593,090",*****,26.2%,*****,"1,048,474",±604,9.9%,±0.1,"158,741",*****,10.9%,*****,"234,561",*****,12.9%,*****,"2,250,076",±213,17.5%,±0.1,"494,408",±211,7.3%,±0.1,"203,048",±35,6.4%,±0.1,"362,053",±78,12.3%,±0.1,"174,359",±525,3.9%,±0.1,"248,782",±333,5.3%,±0.1,"24,526",*****,1.8%,*****,"650,357",*****,10.6%,*****,"864,202",*****,12.4%,*****,"540,036",±73,5.4%,±0.1,"319,828",±42,5.6%,±0.1,"95,643","±1,418",3.2%,±0.1,"271,566",±232,4.4%,±0.1,"43,877",±143,4.1%,±0.1,"224,693",±157,11.5%,±0.1,"897,415",*****,29.3%,*****,"55,915",*****,4.1%,*****,"1,924,503",*****,20.8%,*****,"1,046,411",*****,49.6%,*****,"3,871,753",*****,19.2%,*****,"1,016,730",±155,9.8%,±0.1,"31,926",±97,4.1%,±0.1,"480,347",±247,4.1%,±0.1,"443,914",*****,11.2%,*****,"570,511",*****,13.6%,*****,"1,023,055",±119,7.9%,±0.1,"178,673",*****,16.4%,*****,"306,230",±56,6.0%,±0.1,"37,618",±251,4.3%,±0.1,"395,967",±355,5.8%,±0.1,"11,479,932",*****,39.8%,*****,"465,832",±137,14.4%,±0.1,"13,368",*****,2.1%,*****,"840,248",±343,9.8%,±0.1,"1,007,881",±45,13.2%,±0.1,"30,196",±423,1.7%,±0.1,"424,598",*****,7.2%,*****,"59,185",±167,10.3%,±0.1,"3,270,361","±2,107",98.8%,±0.1
Mexican,"131,817","±3,176",2.6%,±0.1,"27,834","±1,355",3.8%,±0.2,"1,962,216","±7,959",27.7%,±0.1,"168,601","±3,290",5.6%,±0.1,"12,745,942","±21,750",32.3%,±0.1,"905,922","±6,525",15.8%,±0.1,"63,513","±3,837",1.8%,±0.1,"35,568","±1,942",3.6%,±0.2,"13,102","±1,445",1.9%,±0.2,"724,282","±13,372",3.4%,±0.1,"567,527","±9,512",5.3%,±0.1,"51,074","±2,820",3.5%,±0.2,"194,331","±2,472",10.7%,±0.1,"1,753,117","±8,887",13.7%,±0.1,"348,747","±4,521",5.2%,±0.1,"153,450","±2,387",4.8%,±0.1,"292,037","±3,063",10.0%,±0.1,"92,293","±2,556",2.1%,±0.1,"85,719","±2,829",1.8%,±0.1,"7,638",±665,0.6%,±0.1,"102,581","±4,297",1.7%,±0.1,"48,495","±2,966",0.7%,±0.1,"380,103","±4,020",3.8%,±0.1,"207,539","±3,003",3.7%,±0.1,"54,418","±1,932",1.8%,±0.1,"176,642","±3,032",2.9%,±0.1,"29,758","±1,304",2.8%,±0.1,"161,377","±2,819",8.3%,±0.1,"670,146","±6,035",21.9%,±0.2,"10,183","±1,033",0.7%,±0.1,"223,440","±6,173",2.4%,±0.1,"682,606","±6,735",32.4%,±0.3,"481,280","±11,609",2.4%,±0.1,"545,167","±8,777",5.3%,±0.1,"19,885",±989,2.6%,±0.1,"212,054","±3,886",1.8%,±0.1,"351,420","±3,384",8.9%,±0.1,"456,619","±4,702",10.9%,±0.1,"166,899","±5,617",1.3%,±0.1,"11,621","±1,547",1.1%,±0.1,"153,251","±3,942",3.0%,±0.1,"21,638","±1,123",2.5%,±0.1,"228,525","±4,706",3.3%,±0.1,"9,605,740","±26,670",33.3%,±0.1,"326,764","±4,796",10.1%,±0.1,"3,975",±487,0.6%,±0.1,"190,142","±4,625",2.2%,±0.1,"782,899","±6,106",10.3%,±0.1,"10,720","±1,097",0.6%,±0.1,"297,788","±3,945",5.1%,±0.1,"45,277","±1,272",7.9%,±0.2,"7,900",±987,0.2%,±0.1
Puerto Rican,"23,911","±1,697",0.5%,±0.1,"7,739","±1,091",1.1%,±0.1,"51,651","±2,877",0.7%,±0.1,"8,302","±1,213",0.3%,±0.1,"230,981","±7,231",0.6%,±0.1,"37,631","±2,301",0.7%,±0.1,"298,272","±5,273",8.3%,±0.1,"28,396","±1,812",2.9%,±0.2,"6,203",±926,0.9%,±0.1,"1,186,681","±16,002",5.6%,±0.1,"114,013","±4,764",1.1%,±0.1,"53,050","±2,520",3.6%,±0.2,"6,356",±943,0.4%,±0.1,"204,867","±6,259",1.6%,±0.1,"47,024","±3,224",0.7%,±0.1,"8,968","±1,292",0.3%,±0.1,"14,402","±1,522",0.5%,±0.1,"17,865","±1,351",0.4%,±0.1,"14,469","±1,529",0.3%,±0.1,"5,901",±620,0.4%,±0.1,"61,144","±3,360",1.0%,±0.1,"332,682","±6,582",4.8%,±0.1,"50,931","±2,575",0.5%,±0.1,"17,005","±1,559",0.3%,±0.1,"10,096","±1,259",0.3%,±0.1,"19,702","±1,726",0.3%,±0.1,"2,054",±395,0.2%,±0.1,"7,009",±859,0.4%,±0.1,"29,605","±2,049",1.0%,±0.1,"18,359","±1,379",1.3%,±0.1,"483,170","±8,071",5.2%,±0.1,"10,666","±1,182",0.5%,±0.1,"1,090,033","±13,102",5.4%,±0.1,"118,113","±4,621",1.1%,±0.1,"3,684",±820,0.5%,±0.1,"137,966","±2,724",1.2%,±0.1,"16,068","±1,196",0.4%,±0.1,"15,171","±1,468",0.4%,±0.1,"479,824","±8,362",3.7%,±0.1,"47,087","±2,990",4.3%,±0.3,"40,775","±2,973",0.8%,±0.1,"3,054",±615,0.3%,±0.1,"34,421","±3,065",0.5%,±0.1,"228,286","±8,575",0.8%,±0.1,"12,716","±1,723",0.4%,±0.1,"2,250",±289,0.4%,±0.1,"108,327","±3,792",1.3%,±0.1,"39,291","±2,122",0.5%,±0.1,"6,250",±834,0.3%,±0.1,"63,813","±2,655",1.1%,±0.1,"1,232",±381,0.2%,±0.1,"3,163,894","±3,970",95.5%,±0.1
